Country,Total,Code
Yemen,112.4,YEM
Somalia,110.9,SOM
South Sudan,110.8,SSD
Syria,110.7,SYR
Congo Democratic Republic,109.4,COD
Central African Republic,107.5,CAF
Chad,106.4,TCD
Sudan,104.8,SDN
Afghanistan,102.9,AFG
Zimbabwe,99.2,ZWE
Burundi,97.9,BDI
Cameroon,97.9,CMR
Haiti,97.7,HTI
Nigeria,97.3,NGA
Guinea,97.2,GIN
Mali,96,MLI
Iraq,95.9,IRQ
Eritrea,95.8,ERI
Niger,95.3,NER
Libya,95.2,LBY
Ethiopia,94.6,ETH
Myanmar,94,MMR
Guinea Bissau,92.9,GNB
Uganda,92.8,UGA
Pakistan,92.1,PAK
Congo Republic,92.1,COG
Mozambique,91.7,MOZ
Venezuela,91.2,VEN
Kenya,90.3,KEN
North Korea,90.2,PRK
Liberia,90,LBR
Cote d'Ivoire,89.7,CIV
Mauritania,88.7,MRT
Angola,87.3,AGO
Rwanda,86,RWA
Egypt,86,EGY
Burkina Faso,85.9,BFA
Togo,85.8,TGO
Bangladesh,85.7,BGD
Lebanon,84.7,LBN
Zambia,84.5,ZMB
Sierra Leone,84.4,SLE
Malawi,84,MWI
Iran,83.4,IRN
Equatorial Guinea,83,GNQ
Swaziland,83,SWZ
Djibouti,82.7,DJI
Timor-Leste,82.7,TLS
Nepal,82.6,NPL
Papua New Guinea,82.3,PNG
Gambia,82.2,GMB
Sri Lanka,81.8,LKA
Comoros,81.2,COM
Philippines,81,PHL
Cambodia,80.3,KHM
Solomon Islands,79.7,SLB
Madagascar,79.5,MDG
Guatemala,79.2,GTM
Turkey,79.1,TUR
Lesotho,78.3,LSO
Tanzania,78.1,TZA
Nicaragua,77.1,NIC
Laos,76.9,LAO
Honduras,76.8,HND
Colombia,76.6,COL
Tajikistan,75.5,TJK
Jordan,75.4,JOR
India,75.3,IND
Israel and West Bank,75.1,ISR
Bolivia,75,BOL
Algeria,74.6,DZA
Senegal,74.6,SEN
Kyrgyz Republic,73.9,KGZ
Uzbekistan,73.1,UZB
Brazil,73,BRA
Russia,72.6,RUS
Benin,72.5,BEN
Azerbaijan,71.3,AZE
Micronesia,71.2,FSM
Morocco,71.2,MAR
Georgia,71.2,GEO
Thailand,70.8,THA
Sao Tome and Principe,70.3,STP
Bosnia and Herzegovina,70.2,BIH
South Africa,70.1,ZAF
China,69.9,CHN
Fiji,69.9,FJI
Bhutan,69.5,BTN
Ecuador,69.4,ECU
Gabon,69.1,GAB
Turkmenistan,69.1,TKM
Ukraine,69,UKR
El Salvador,68.9,SLV
Saudi Arabia,68.8,SAU
Tunisia,68.1,TUN
Indonesia,67.8,IDN
Peru,67.6,PER
Mexico,67.2,MEX
Maldives,66.2,MDV
Serbia,66.1,SRB
Moldova,66,MDA
Guyana,66,GUY
Belarus,65.8,BLR
Paraguay,65.2,PRY
Namibia,65.1,NAM
Cape Verde,64.8,CPV
Dominican Republic,64.4,DOM
Armenia,64.2,ARM
Ghana,64.2,GHA
Bahrain,63.9,BHR
Vietnam,63.9,VNM
Samoa,63.3,WSM
Macedonia,62.1,MKD
Belize,60.8,BLZ
Suriname,60.1,SUR
Jamaica,60,JAM
Kazakhstan,59.8,KAZ
Cuba,59.2,CUB
Albania,58.8,ALB
Malaysia,57.6,MYS
Botswana,57.1,BWA
Brunei Darussalam,56.6,BRN
Cyprus,56.1,CYP
Montenegro,55.5,MNE
Grenada,55.2,GRD
Seychelles,54.7,SYC
Greece,52.1,GRC
Antigua and Barbuda,52.1,ATG
Trinidad and Tobago,51.9,TTO
Mongolia,51.9,MNG
Kuwait,50.9,KWT
Bahamas,49.9,BHM
Bulgaria,49.2,BGR
Oman,48,OMN
Hungary,47.6,HUN
Romania,46.7,ROU
Barbados,46.4,BRB
Croatia,46.1,HRV
Argentina,46.1,ARG
Panama,46,PAN
Qatar,43.7,QAT
Chile,42.5,CHL
Italy,42.4,ITA
Latvia,42.3,LVA
Poland,41,POL
Spain,40.4,ESP
Costa Rica,40.2,CRI
Estonia,38.5,EST
United States,38.3,USA
United Kingdom,38.3,GBR
Slovak Republic,38.2,SVK
United Arab Emirates,38.1,ARE
Mauritius,37.2,MUS
Lithuania,36.5,LTU
Czech Republic,35.7,CZE
Malta,33.6,MLT
Uruguay,33.4,URY
Japan,32.3,JPN
South Korea,32,KOR
France,30.5,FRA
Belgium,27.1,BEL
Singapore,26.3,SGP
Slovenia,25.8,SVN
Austria,24.1,AUT
Portugal,23.5,PRT
Germany,23.2,DEU
Netherlands,22.9,NLD
Ireland,19.9,IRL
Australia,19.7,AUS
Luxembourg,18.8,LUX
Canada,18.7,CAN
Sweden,18.2,SWE
New Zealand,17.9,NZL
Iceland,17.8,ISL
Denmark,17.2,DNK
Switzerland,17.1,CHE
Norway,16.2,NOR
Finland,14.6,FIN
